id,country,macroarea,area,sex,agegroup,educ,hhsize_grp,foreign_born,cnt_weekday,cnt_count_30,cnt_count_gc_30,cnt_count_w_30,worn_face_mask,threat_community_q,threat_personal_q,d.weight
7729,DE,Süddeutschland,Baden-Württemberg,Female,18-24,Secondary,1p.,1,Donnerstag,1,1,0,1,H,L,0.8356563001679639
14667,DE,Süddeutschland,Baden-Württemberg,Female,18-24,Secondary,2pp.,0,Samstag,8,4,0,0,H,H,0.8356563001679639
14812,DE,Süddeutschland,Baden-Württemberg,Female,18-24,Secondary,3pp.+,0,Samstag,1,0,0,0,H,L,0.8356563001679639
14243,DE,Süddeutschland,Baden-Württemberg,Female,18-24,GraduateOrMore,2pp.,0,Samstag,25,3,20,0,H,L,0.8356563001679639
10906,DE,Süddeutschland,Baden-Württemberg,Female,25-29,Secondary,3pp.+,0,Freitag,5,0,0,0,H,H,1.0012744065179182
7631,DE,Süddeutschland,Baden-Württemberg,Female,25-29,Secondary,3pp.+,0,Donnerstag,3,0,0,0,H,H,0.8356563001679639
12914,DE,Süddeutschland,Baden-Württemberg,Female,25-29,Secondary,3pp.+,0,Samstag,6,5,0,0,L,H,0.8356563001679639
15064,DE,Süddeutschland,Baden-Württemberg,Female,25-29,Secondary,3pp.+,0,Samstag,3,1,0,0,H,L,0.8356563001679639
11642,DE,Süddeutschland,Baden-Württemberg,Female,25-29,GraduateOrMore,1p.,0,Freitag,8,7,0,0,H,L,1.0012744065179182
13344,DE,Süddeutschland,Baden-Württemberg,Female,25-29,Secondary,3pp.+,0,Samstag,7,4,0,0,L,L,0.8356563001679639
8207,DE,Süddeutschland,Baden-Württemberg,Female,25-29,Secondary,2pp.,0,Donnerstag,21,0,20,1,L,H,0.8356563001679639
7595,DE,Süddeutschland,Baden-Württemberg,Female,25-29,GraduateOrMore,3pp.+,0,Donnerstag,2,0,0,0,L,L,0.8356563001679639
14337,DE,Süddeutschland,Baden-Württemberg,Female,30-34,GraduateOrMore,2pp.,0,Samstag,3,0,0,1,H,H,1.0012744065179182
13018,DE,Süddeutschland,Baden-Württemberg,Female,30-34,GraduateOrMore,3pp.+,0,Samstag,5,0,0,0,H,H,1.0012744065179182
9164,DE,Süddeutschland,Baden-Württemberg,Female,35-39,GraduateOrMore,3pp.+,0,Freitag,5,0,0,0,H,H,1.0012744065179182
11977,DE,Süddeutschland,Baden-Württemberg,Female,35-39,Secondary,1p.,0,Freitag,2,0,0,0,L,L,1.0012744065179182
14536,DE,Süddeutschland,Baden-Württemberg,Female,35-39,GraduateOrMore,3pp.+,0,Samstag,8,1,2,1,L,L,1.0012744065179182
14053,DE,Süddeutschland,Baden-Württemberg,Female,35-39,Secondary,3pp.+,0,Samstag,3,0,0,0,H,L,1.0012744065179182
13912,DE,Süddeutschland,Baden-Württemberg,Female,40-44,GraduateOrMore,2pp.,0,Samstag,3,2,0,1,H,H,1.0012744065179182
12732,DE,Süddeutschland,Baden-Württemberg,Female,40-44,GraduateOrMore,2pp.,0,Samstag,3,2,0,0,H,H,1.0012744065179182
12418,DE,Süddeutschland,Baden-Württemberg,Female,40-44,GraduateOrMore,3pp.+,0,Samstag,4,0,0,0,H,H,1.0012744065179182
10919,DE,Süddeutschland,Baden-Württemberg,Female,40-44,Secondary,2pp.,0,Freitag,NA,20,NA,0,H,H,1.0012744065179182
13046,DE,Süddeutschland,Baden-Württemberg,Female,40-44,GraduateOrMore,2pp.,0,Samstag,3,2,0,0,H,L,1.0012744065179182
