country,area,sex,agegroup,count
DE,Baden-Württemberg,Female,0-17,913894
DE,Baden-Württemberg,Female,18-24,429611
DE,Baden-Württemberg,Female,25-29,347089
DE,Baden-Württemberg,Female,30-34,357140
DE,Baden-Württemberg,Female,35-39,349535
DE,Baden-Württemberg,Female,40-44,327653
DE,Baden-Württemberg,Female,45-49,356908
DE,Baden-Württemberg,Female,50-54,439701
DE,Baden-Württemberg,Female,55-59,435515
DE,Baden-Württemberg,Female,60-64,366411
DE,Baden-Württemberg,Female,65-69,314945
DE,Baden-Württemberg,Female,70-74,245270
DE,Baden-Württemberg,Female,75+,700282
DE,Baden-Württemberg,Male,0-17,964888
DE,Baden-Württemberg,Male,18-24,476602
DE,Baden-Württemberg,Male,25-29,384128
DE,Baden-Württemberg,Male,30-34,387984
DE,Baden-Württemberg,Male,35-39,363263
DE,Baden-Württemberg,Male,40-44,331858
DE,Baden-Württemberg,Male,45-49,358773
DE,Baden-Württemberg,Male,50-54,449978
DE,Baden-Württemberg,Male,55-59,441466
DE,Baden-Württemberg,Male,60-64,358293
DE,Baden-Württemberg,Male,65-69,284881
DE,Baden-Württemberg,Male,70-74,218241
DE,Baden-Württemberg,Male,75+,496085
DE,Baden-Württemberg,Total,0-17,1878782
DE,Baden-Württemberg,Total,18-24,906213
DE,Baden-Württemberg,Total,25-29,731217
DE,Baden-Württemberg,Total,30-34,745124
DE,Baden-Württemberg,Total,35-39,712798
DE,Baden-Württemberg,Total,40-44,659511
DE,Baden-Württemberg,Total,45-49,715681
DE,Baden-Württemberg,Total,50-54,889679
DE,Baden-Württemberg,Total,55-59,876981
DE,Baden-Württemberg,Total,60-64,724704
DE,Baden-Württemberg,Total,65-69,599826
DE,Baden-Württemberg,Total,70-74,463511
DE,Baden-Württemberg,Total,75+,1196367
DE,Bayern,Female,0-17,1053009
DE,Bayern,Female,18-24,488815
DE,Bayern,Female,25-29,411066
DE,Bayern,Female,30-34,426661
DE,Bayern,Female,35-39,421955
DE,Bayern,Female,40-44,399167
DE,Bayern,Female,45-49,429019
DE,Bayern,Female,50-54,528793
DE,Bayern,Female,55-59,521383
DE,Bayern,Female,60-64,434281
DE,Bayern,Female,65-69,373557
DE,Bayern,Female,70-74,305579
DE,Bayern,Female,75+,823761
DE,Bayern,Male,0-17,1108353
DE,Bayern,Male,18-24,541451
DE,Bayern,Male,25-29,447020
DE,Bayern,Male,30-34,457574
DE,Bayern,Male,35-39,434616
DE,Bayern,Male,40-44,403325
DE,Bayern,Male,45-49,431223
DE,Bayern,Male,50-54,542887
DE,Bayern,Male,55-59,523937
DE,Bayern,Male,60-64,425098
DE,Bayern,Male,65-69,340217
DE,Bayern,Male,70-74,271153
DE,Bayern,Male,75+,580837
DE,Bayern,Total,0-17,2161362
DE,Bayern,Total,18-24,1030266
DE,Bayern,Total,25-29,858086
DE,Bayern,Total,30-34,884235
DE,Bayern,Total,35-39,856571
DE,Bayern,Total,40-44,802492
DE,Bayern,Total,45-49,860242
DE,Bayern,Total,50-54,1071680
DE,Bayern,Total,55-59,1045320
DE,Bayern,Total,60-64,859379
DE,Bayern,Total,65-69,713774
DE,Bayern,Total,70-74,576732
DE,Bayern,Total,75+,1404598
DE,Berlin,Female,0-17,294527
DE,Berlin,Female,18-24,131534
DE,Berlin,Female,25-29,140799
DE,Berlin,Female,30-34,164779
DE,Berlin,Female,35-39,142814
DE,Berlin,Female,40-44,116649
DE,Berlin,Female,45-49,108325
DE,Berlin,Female,50-54,129021
DE,Berlin,Female,55-59,130648
DE,Berlin,Female,60-64,103880
DE,Berlin,Female,65-69,98622
DE,Berlin,Female,70-74,78022
DE,Berlin,Female,75+,225598
DE,Berlin,Male,0-17,311347
DE,Berlin,Male,18-24,132550
DE,Berlin,Male,25-29,139336
DE,Berlin,Male,30-34,168782
DE,Berlin,Male,35-39,149498
DE,Berlin,Male,40-44,121754
DE,Berlin,Male,45-49,112295
DE,Berlin,Male,50-54,133265
DE,Berlin,Male,55-59,131876
DE,Berlin,Male,60-64,100287
DE,Berlin,Male,65-69,84200
DE,Berlin,Male,70-74,65150
DE,Berlin,Male,75+,153933
DE,Berlin,Total,0-17,605874
DE,Berlin,Total,18-24,264084
DE,Berlin,Total,25-29,280135
DE,Berlin,Total,30-34,333561
DE,Berlin,Total,35-39,292312
DE,Berlin,Total,40-44,238403
DE,Berlin,Total,45-49,220620
DE,Berlin,Total,50-54,262286
DE,Berlin,Total,55-59,262524
DE,Berlin,Total,60-64,204167
DE,Berlin,Total,65-69,182822
DE,Berlin,Total,70-74,143172
DE,Berlin,Total,75+,379531
DE,Brandenburg,Female,0-17,193234
DE,Brandenburg,Female,18-24,60825
DE,Brandenburg,Female,25-29,44098
DE,Brandenburg,Female,30-34,75782
DE,Brandenburg,Female,35-39,79147
DE,Brandenburg,Female,40-44,73417
DE,Brandenburg,Female,45-49,74971
DE,Brandenburg,Female,50-54,102767
DE,Brandenburg,Female,55-59,118924
DE,Brandenburg,Female,60-64,102256
DE,Brandenburg,Female,65-69,93419
DE,Brandenburg,Female,70-74,56676
DE,Brandenburg,Female,75+,202446
DE,Brandenburg,Male,0-17,204884
DE,Brandenburg,Male,18-24,70491
DE,Brandenburg,Male,25-29,48093
DE,Brandenburg,Male,30-34,78723
DE,Brandenburg,Male,35-39,82865
DE,Brandenburg,Male,40-44,77597
DE,Brandenburg,Male,45-49,78865
DE,Brandenburg,Male,50-54,104826
DE,Brandenburg,Male,55-59,120730
DE,Brandenburg,Male,60-64,101788
DE,Brandenburg,Male,65-69,87537
DE,Brandenburg,Male,70-74,49948
DE,Brandenburg,Male,75+,137584
DE,Brandenburg,Total,0-17,398118
DE,Brandenburg,Total,18-24,131316
DE,Brandenburg,Total,25-29,92191
DE,Brandenburg,Total,30-34,154505
DE,Brandenburg,Total,35-39,162012
DE,Brandenburg,Total,40-44,151014
DE,Brandenburg,Total,45-49,153836
DE,Brandenburg,Total,50-54,207593
DE,Brandenburg,Total,55-59,239654
DE,Brandenburg,Total,60-64,204044
DE,Brandenburg,Total,65-69,180956
DE,Brandenburg,Total,70-74,106624
DE,Brandenburg,Total,75+,340030
DE,Bremen,Female,0-17,53516
DE,Bremen,Female,18-24,28054
DE,Bremen,Female,25-29,23406
DE,Bremen,Female,30-34,23570
DE,Bremen,Female,35-39,21425
DE,Bremen,Female,40-44,19513
DE,Bremen,Female,45-49,20487
DE,Bremen,Female,50-54,25303
DE,Bremen,Female,55-59,25022
DE,Bremen,Female,60-64,21893
DE,Bremen,Female,65-69,19445
DE,Bremen,Female,70-74,16615
DE,Bremen,Female,75+,45952
DE,Bremen,Male,0-17,57454
DE,Bremen,Male,18-24,31136
DE,Bremen,Male,25-29,25681
DE,Bremen,Male,30-34,25278
DE,Bremen,Male,35-39,22574
DE,Bremen,Male,40-44,20292
DE,Bremen,Male,45-49,21108
DE,Bremen,Male,50-54,26440
DE,Bremen,Male,55-59,24749
DE,Bremen,Male,60-64,20348
DE,Bremen,Male,65-69,16900
DE,Bremen,Male,70-74,14264
DE,Bremen,Male,75+,30777
DE,Bremen,Total,0-17,110970
DE,Bremen,Total,18-24,59190
DE,Bremen,Total,25-29,49087
DE,Bremen,Total,30-34,48848
