country,area,sex,agegroup,educ,hhsize_grp,pop_count,pop_count_se,pop_prop
DE,Baden-Württemberg,Female,18-24,1-PrimaryOrLess,1p.,0,0,0
DE,Baden-Württemberg,Female,18-24,1-PrimaryOrLess,2pp.,0,0,0
DE,Baden-Württemberg,Female,18-24,1-PrimaryOrLess,3pp.+,0,0,0
DE,Baden-Württemberg,Female,18-24,2-Secondary,1p.,90608.08291814406,64069.58986173265,0.0013205208327827086
DE,Baden-Württemberg,Female,18-24,2-Secondary,2pp.,27744.92007156276,27744.92007156276,4.0435404633258295e-4
DE,Baden-Württemberg,Female,18-24,2-Secondary,3pp.+,576430.5077642022,191006.00130802518,0.008400889519335781
DE,Baden-Württemberg,Female,18-24,3-GraduateOrMore,1p.,0,0,0
DE,Baden-Württemberg,Female,18-24,3-GraduateOrMore,2pp.,0,0,0
DE,Baden-Württemberg,Female,18-24,3-GraduateOrMore,3pp.+,0,0,0
DE,Baden-Württemberg,Female,25-29,1-PrimaryOrLess,1p.,37734.76482980947,37734.76482980948,5.499458930494756e-4
DE,Baden-Württemberg,Female,25-29,1-PrimaryOrLess,2pp.,0,0,0
DE,Baden-Württemberg,Female,25-29,1-PrimaryOrLess,3pp.+,0,0,0
DE,Baden-Württemberg,Female,25-29,2-Secondary,1p.,0,0,0
DE,Baden-Württemberg,Female,25-29,2-Secondary,2pp.,201391.80927858833,104235.19368483862,0.0029350811885561216
DE,Baden-Württemberg,Female,25-29,2-Secondary,3pp.+,0,0,0
DE,Baden-Württemberg,Female,25-29,3-GraduateOrMore,1p.,0,0,0
DE,Baden-Württemberg,Female,25-29,3-GraduateOrMore,2pp.,55489.84014312552,39237.24225216156,8.087080926651659e-4
DE,Baden-Württemberg,Female,25-29,3-GraduateOrMore,3pp.+,83234.76021468829,48055.61121588423,0.001213062138997749
DE,Baden-Württemberg,Female,30-34,1-PrimaryOrLess,1p.,0,0,0
DE,Baden-Württemberg,Female,30-34,1-PrimaryOrLess,2pp.,0,0,0
DE,Baden-Württemberg,Female,30-34,1-PrimaryOrLess,3pp.+,0,0,0
DE,Baden-Württemberg,Female,30-34,2-Secondary,1p.,45304.04145907203,45304.04145907203,6.602604163913543e-4
DE,Baden-Württemberg,Female,30-34,2-Secondary,2pp.,0,0,0
DE,Baden-Württemberg,Female,30-34,2-Secondary,3pp.+,181216.16583628813,110971.7848606208,0.0026410416655654172
DE,Baden-Württemberg,Female,30-34,3-GraduateOrMore,1p.,27744.92007156276,27744.92007156276,4.0435404633258295e-4
DE,Baden-Württemberg,Female,30-34,3-GraduateOrMore,2pp.,0,0,0
DE,Baden-Württemberg,Female,30-34,3-GraduateOrMore,3pp.+,0,0,0
DE,Baden-Württemberg,Female,35-39,1-PrimaryOrLess,1p.,0,0,0
DE,Baden-Württemberg,Female,35-39,1-PrimaryOrLess,2pp.,0,0,0
DE,Baden-Württemberg,Female,35-39,1-PrimaryOrLess,3pp.+,0,0,0
DE,Baden-Württemberg,Female,35-39,2-Secondary,1p.,0,0,0
DE,Baden-Württemberg,Female,35-39,2-Secondary,2pp.,65163.064286760484,47011.65588454585,9.49685515323876e-4
DE,Baden-Württemberg,Female,35-39,2-Secondary,3pp.+,143515.76961387641,72661.3308785759,0.0020915966600813865
DE,Baden-Württemberg,Female,35-39,3-GraduateOrMore,1p.,0,0,0
